Start Training:
Iter: 18400, Loss: 9.64459e-06, Loss_0: 1.18245e-06, Loss_b: 6.98214e-07, Loss_f: 7.76393e-06
Iter: 18500, Loss: 9.46030e-06, Loss_0: 1.16441e-06, Loss_b: 6.78788e-07, Loss_f: 7.61710e-06
Iter: 18600, Loss: 9.27897e-06, Loss_0: 1.11322e-06, Loss_b: 6.82782e-07, Loss_f: 7.48298e-06
Iter: 18700, Loss: 9.09053e-06, Loss_0: 1.11123e-06, Loss_b: 6.62665e-07, Loss_f: 7.31663e-06
Iter: 18800, Loss: 8.92045e-06, Loss_0: 1.08665e-06, Loss_b: 6.61365e-07, Loss_f: 7.17243e-06
Iter: 18900, Loss: 8.74012e-06, Loss_0: 1.06769e-06, Loss_b: 6.55671e-07, Loss_f: 7.01675e-06
Iter: 19000, Loss: 8.55262e-06, Loss_0: 1.04853e-06, Loss_b: 6.28635e-07, Loss_f: 6.87546e-06
Iter: 19100, Loss: 8.38382e-06, Loss_0: 1.04603e-06, Loss_b: 6.06520e-07, Loss_f: 6.73127e-06
Iter: 19200, Loss: 8.24258e-06, Loss_0: 1.05173e-06, Loss_b: 5.95017e-07, Loss_f: 6.59584e-06
Iter: 19300, Loss: 8.11194e-06, Loss_0: 1.05508e-06, Loss_b: 5.93342e-07, Loss_f: 6.46352e-06
Iter: 19400, Loss: 7.97279e-06, Loss_0: 1.03067e-06, Loss_b: 5.94701e-07, Loss_f: 6.34742e-06
Training time: 1358.9350
