Start Training:
Iter: 11600, Loss: 2.81112e-02, Loss_0: 4.80349e-04, Loss_b: 2.29181e-07, Loss_f: 5.75712e-05, Loss_s: 2.75731e-02
Iter: 11700, Loss: 2.80944e-02, Loss_0: 4.80453e-04, Loss_b: 3.58949e-07, Loss_f: 5.24583e-05, Loss_s: 2.75612e-02
Iter: 11800, Loss: 2.80772e-02, Loss_0: 4.80628e-04, Loss_b: 4.98179e-07, Loss_f: 4.65798e-05, Loss_s: 2.75495e-02
Iter: 11900, Loss: 2.80633e-02, Loss_0: 4.78375e-04, Loss_b: 4.40808e-07, Loss_f: 4.28189e-05, Loss_s: 2.75417e-02
Iter: 12000, Loss: 2.80531e-02, Loss_0: 4.73244e-04, Loss_b: 3.89882e-07, Loss_f: 4.09211e-05, Loss_s: 2.75386e-02
Iter: 12100, Loss: 2.80444e-02, Loss_0: 4.73588e-04, Loss_b: 2.81059e-07, Loss_f: 3.91506e-05, Loss_s: 2.75314e-02
Iter: 12200, Loss: 2.80329e-02, Loss_0: 4.66675e-04, Loss_b: 2.17914e-07, Loss_f: 3.74271e-05, Loss_s: 2.75286e-02
Iter: 12300, Loss: 2.80247e-02, Loss_0: 4.64115e-04, Loss_b: 2.26800e-07, Loss_f: 3.52041e-05, Loss_s: 2.75251e-02
Iter: 12400, Loss: 2.80169e-02, Loss_0: 4.60465e-04, Loss_b: 1.83014e-07, Loss_f: 3.30921e-05, Loss_s: 2.75232e-02
Iter: 12500, Loss: 2.80103e-02, Loss_0: 4.64933e-04, Loss_b: 2.52470e-07, Loss_f: 3.31007e-05, Loss_s: 2.75120e-02
Iter: 12600, Loss: 2.80012e-02, Loss_0: 4.60247e-04, Loss_b: 1.40821e-07, Loss_f: 3.10630e-05, Loss_s: 2.75097e-02
Iter: 12700, Loss: 2.79949e-02, Loss_0: 4.55004e-04, Loss_b: 1.12408e-07, Loss_f: 2.97139e-05, Loss_s: 2.75101e-02
Iter: 12800, Loss: 2.79887e-02, Loss_0: 4.49883e-04, Loss_b: 2.80549e-07, Loss_f: 2.91505e-05, Loss_s: 2.75094e-02
Iter: 12900, Loss: 2.79829e-02, Loss_0: 4.53657e-04, Loss_b: 3.23094e-07, Loss_f: 2.82724e-05, Loss_s: 2.75006e-02
Iter: 13000, Loss: 2.79768e-02, Loss_0: 4.54524e-04, Loss_b: 2.94095e-07, Loss_f: 2.74677e-05, Loss_s: 2.74945e-02
Iter: 13100, Loss: 2.79717e-02, Loss_0: 4.52900e-04, Loss_b: 3.18788e-07, Loss_f: 2.65941e-05, Loss_s: 2.74918e-02
Iter: 13200, Loss: 2.79671e-02, Loss_0: 4.48806e-04, Loss_b: 1.84019e-07, Loss_f: 2.59751e-05, Loss_s: 2.74921e-02
Iter: 13300, Loss: 2.79627e-02, Loss_0: 4.47969e-04, Loss_b: 1.63696e-07, Loss_f: 2.40679e-05, Loss_s: 2.74905e-02
Iter: 13400, Loss: 2.79583e-02, Loss_0: 4.48993e-04, Loss_b: 1.32630e-07, Loss_f: 2.25819e-05, Loss_s: 2.74866e-02
Iter: 13500, Loss: 2.79540e-02, Loss_0: 4.49391e-04, Loss_b: 1.60242e-07, Loss_f: 2.11365e-05, Loss_s: 2.74833e-02
Iter: 13600, Loss: 2.79506e-02, Loss_0: 4.48597e-04, Loss_b: 1.64058e-07, Loss_f: 2.05771e-05, Loss_s: 2.74812e-02
Iter: 13700, Loss: 2.79469e-02, Loss_0: 4.44094e-04, Loss_b: 1.61640e-07, Loss_f: 1.99732e-05, Loss_s: 2.74827e-02
Training time: 488.5622
