Start Training:
Iter: 11000, Loss: 7.25545e-03, Loss_0: 1.34091e-04, Loss_b: 1.71821e-06, Loss_f: 2.45312e-04, Loss_s: 6.87433e-03
Iter: 11100, Loss: 7.13023e-03, Loss_0: 1.29569e-04, Loss_b: 2.04038e-06, Loss_f: 2.35537e-04, Loss_s: 6.76308e-03
Iter: 11200, Loss: 7.01654e-03, Loss_0: 1.12908e-04, Loss_b: 8.55548e-07, Loss_f: 2.38566e-04, Loss_s: 6.66421e-03
Iter: 11300, Loss: 6.90132e-03, Loss_0: 1.17525e-04, Loss_b: 6.80893e-07, Loss_f: 2.44899e-04, Loss_s: 6.53821e-03
Iter: 11400, Loss: 6.79343e-03, Loss_0: 1.10441e-04, Loss_b: 4.88799e-07, Loss_f: 2.33453e-04, Loss_s: 6.44905e-03
Iter: 11500, Loss: 6.69034e-03, Loss_0: 8.74608e-05, Loss_b: 4.15325e-07, Loss_f: 2.22028e-04, Loss_s: 6.38044e-03
Iter: 11600, Loss: 6.61463e-03, Loss_0: 9.89938e-05, Loss_b: 1.47910e-07, Loss_f: 1.93607e-04, Loss_s: 6.32188e-03
Iter: 11700, Loss: 6.53882e-03, Loss_0: 9.89811e-05, Loss_b: 1.60723e-07, Loss_f: 1.46763e-04, Loss_s: 6.29291e-03
Iter: 11800, Loss: 6.48810e-03, Loss_0: 1.07101e-04, Loss_b: 1.90834e-07, Loss_f: 1.17378e-04, Loss_s: 6.26343e-03
Iter: 11900, Loss: 6.45431e-03, Loss_0: 1.04983e-04, Loss_b: 1.84899e-07, Loss_f: 9.98528e-05, Loss_s: 6.24929e-03
Iter: 12000, Loss: 6.42563e-03, Loss_0: 9.72710e-05, Loss_b: 2.01612e-07, Loss_f: 8.63653e-05, Loss_s: 6.24180e-03
Iter: 12100, Loss: 6.39542e-03, Loss_0: 9.22691e-05, Loss_b: 1.56090e-07, Loss_f: 7.45656e-05, Loss_s: 6.22843e-03
Iter: 12200, Loss: 6.36835e-03, Loss_0: 9.48810e-05, Loss_b: 2.16815e-07, Loss_f: 6.27225e-05, Loss_s: 6.21053e-03
Iter: 12300, Loss: 6.35016e-03, Loss_0: 9.81334e-05, Loss_b: 7.11661e-08, Loss_f: 5.47934e-05, Loss_s: 6.19716e-03
Iter: 12400, Loss: 6.33575e-03, Loss_0: 1.00366e-04, Loss_b: 7.03661e-08, Loss_f: 4.86993e-05, Loss_s: 6.18662e-03
Iter: 12500, Loss: 6.32496e-03, Loss_0: 9.68299e-05, Loss_b: 1.69695e-07, Loss_f: 4.44255e-05, Loss_s: 6.18354e-03
Iter: 12600, Loss: 6.31334e-03, Loss_0: 1.02180e-04, Loss_b: 7.31190e-08, Loss_f: 4.15693e-05, Loss_s: 6.16952e-03
Iter: 12700, Loss: 6.30535e-03, Loss_0: 9.49594e-05, Loss_b: 1.54631e-07, Loss_f: 3.83403e-05, Loss_s: 6.17189e-03
Iter: 12800, Loss: 6.29813e-03, Loss_0: 1.00635e-04, Loss_b: 1.65817e-07, Loss_f: 3.58034e-05, Loss_s: 6.16153e-03
Iter: 12900, Loss: 6.29131e-03, Loss_0: 9.50241e-05, Loss_b: 8.99798e-08, Loss_f: 3.28757e-05, Loss_s: 6.16332e-03
Iter: 13000, Loss: 6.28578e-03, Loss_0: 9.83637e-05, Loss_b: 1.08146e-07, Loss_f: 3.00838e-05, Loss_s: 6.15722e-03
Iter: 13100, Loss: 6.28123e-03, Loss_0: 9.59574e-05, Loss_b: 1.20793e-07, Loss_f: 2.79849e-05, Loss_s: 6.15717e-03
Iter: 13200, Loss: 6.27752e-03, Loss_0: 9.56750e-05, Loss_b: 8.39940e-08, Loss_f: 2.62993e-05, Loss_s: 6.15546e-03
Iter: 13300, Loss: 6.27386e-03, Loss_0: 9.90803e-05, Loss_b: 1.35904e-07, Loss_f: 2.45262e-05, Loss_s: 6.15012e-03
Iter: 13400, Loss: 6.27083e-03, Loss_0: 9.88854e-05, Loss_b: 1.08528e-07, Loss_f: 2.31360e-05, Loss_s: 6.14870e-03
Iter: 13500, Loss: 6.26766e-03, Loss_0: 9.69465e-05, Loss_b: 1.23468e-07, Loss_f: 2.14011e-05, Loss_s: 6.14919e-03
Iter: 13600, Loss: 6.26514e-03, Loss_0: 9.80644e-05, Loss_b: 1.74638e-07, Loss_f: 2.01216e-05, Loss_s: 6.14678e-03
Iter: 13700, Loss: 6.26264e-03, Loss_0: 9.80488e-05, Loss_b: 1.03158e-07, Loss_f: 1.87324e-05, Loss_s: 6.14576e-03
Iter: 13800, Loss: 6.26086e-03, Loss_0: 9.54690e-05, Loss_b: 1.11367e-07, Loss_f: 1.77079e-05, Loss_s: 6.14757e-03
Iter: 13900, Loss: 6.25858e-03, Loss_0: 9.56744e-05, Loss_b: 7.39602e-08, Loss_f: 1.66961e-05, Loss_s: 6.14613e-03
Iter: 14000, Loss: 6.25686e-03, Loss_0: 9.72314e-05, Loss_b: 4.20587e-08, Loss_f: 1.62782e-05, Loss_s: 6.14331e-03
Iter: 14100, Loss: 6.25533e-03, Loss_0: 9.74136e-05, Loss_b: 3.38012e-08, Loss_f: 1.56449e-05, Loss_s: 6.14223e-03
Iter: 14200, Loss: 6.25368e-03, Loss_0: 9.60012e-05, Loss_b: 2.84851e-08, Loss_f: 1.50257e-05, Loss_s: 6.14263e-03
Iter: 14300, Loss: 6.25265e-03, Loss_0: 9.58716e-05, Loss_b: 3.86546e-08, Loss_f: 1.46597e-05, Loss_s: 6.14208e-03
Iter: 14400, Loss: 6.25161e-03, Loss_0: 9.62368e-05, Loss_b: 3.89661e-08, Loss_f: 1.41099e-05, Loss_s: 6.14122e-03
Iter: 14500, Loss: 6.25066e-03, Loss_0: 9.57894e-05, Loss_b: 3.63827e-08, Loss_f: 1.35885e-05, Loss_s: 6.14124e-03
Iter: 14600, Loss: 6.24948e-03, Loss_0: 9.65843e-05, Loss_b: 5.61603e-08, Loss_f: 1.31419e-05, Loss_s: 6.13970e-03
Iter: 14700, Loss: 6.24833e-03, Loss_0: 9.52658e-05, Loss_b: 4.68893e-08, Loss_f: 1.24859e-05, Loss_s: 6.14053e-03
Iter: 14800, Loss: 6.24729e-03, Loss_0: 9.63572e-05, Loss_b: 4.27952e-08, Loss_f: 1.19776e-05, Loss_s: 6.13891e-03
Iter: 14900, Loss: 6.24638e-03, Loss_0: 9.69354e-05, Loss_b: 4.21425e-08, Loss_f: 1.16794e-05, Loss_s: 6.13773e-03
Iter: 15000, Loss: 6.24544e-03, Loss_0: 9.76788e-05, Loss_b: 3.85896e-08, Loss_f: 1.12662e-05, Loss_s: 6.13646e-03
Iter: 15100, Loss: 6.24423e-03, Loss_0: 9.79527e-05, Loss_b: 3.80895e-08, Loss_f: 1.07243e-05, Loss_s: 6.13551e-03
Iter: 15200, Loss: 6.24341e-03, Loss_0: 9.67099e-05, Loss_b: 3.44152e-08, Loss_f: 1.02018e-05, Loss_s: 6.13646e-03
Iter: 15300, Loss: 6.24262e-03, Loss_0: 9.60985e-05, Loss_b: 3.09100e-08, Loss_f: 9.69520e-06, Loss_s: 6.13679e-03
Training time: 499.3456
