Start Training:
Iter: 7800, Loss: 7.01189e-02, Loss_0: 2.50167e-03, Loss_b: 4.52556e-06, Loss_f: 1.86834e-03, Loss_s: 6.57444e-02
Iter: 7900, Loss: 7.24686e-02, Loss_0: 2.41429e-03, Loss_b: 5.37591e-06, Loss_f: 4.26961e-03, Loss_s: 6.57793e-02
Iter: 8000, Loss: 7.12284e-02, Loss_0: 2.47112e-03, Loss_b: 1.46510e-06, Loss_f: 3.09650e-03, Loss_s: 6.56593e-02
Iter: 8100, Loss: 7.61839e-02, Loss_0: 2.43897e-03, Loss_b: 7.40576e-06, Loss_f: 8.09920e-03, Loss_s: 6.56384e-02
Iter: 8200, Loss: 6.96217e-02, Loss_0: 2.37430e-03, Loss_b: 2.91037e-06, Loss_f: 1.67341e-03, Loss_s: 6.55711e-02
Iter: 8300, Loss: 7.22565e-02, Loss_0: 2.46304e-03, Loss_b: 5.50541e-06, Loss_f: 4.28216e-03, Loss_s: 6.55058e-02
Iter: 8400, Loss: 6.92341e-02, Loss_0: 2.40088e-03, Loss_b: 2.42074e-06, Loss_f: 1.39350e-03, Loss_s: 6.54373e-02
Iter: 8500, Loss: 7.09924e-02, Loss_0: 2.30398e-03, Loss_b: 4.03232e-06, Loss_f: 3.23916e-03, Loss_s: 6.54452e-02
Iter: 8600, Loss: 1.10413e-01, Loss_0: 1.86936e-03, Loss_b: 2.70122e-05, Loss_f: 4.24595e-02, Loss_s: 6.60567e-02
Iter: 8700, Loss: 6.87673e-02, Loss_0: 2.31202e-03, Loss_b: 2.10446e-06, Loss_f: 1.13444e-03, Loss_s: 6.53188e-02
Iter: 8800, Loss: 6.88690e-02, Loss_0: 2.32983e-03, Loss_b: 2.16629e-06, Loss_f: 1.26679e-03, Loss_s: 6.52703e-02
Iter: 8900, Loss: 7.29437e-02, Loss_0: 2.16516e-03, Loss_b: 1.45001e-05, Loss_f: 5.39033e-03, Loss_s: 6.53737e-02
Iter: 9000, Loss: 6.85481e-02, Loss_0: 2.24777e-03, Loss_b: 1.90069e-06, Loss_f: 1.08662e-03, Loss_s: 6.52118e-02
Iter: 9100, Loss: 6.86067e-02, Loss_0: 2.28776e-03, Loss_b: 2.33232e-06, Loss_f: 1.18169e-03, Loss_s: 6.51350e-02
Iter: 9200, Loss: 6.85161e-02, Loss_0: 2.16471e-03, Loss_b: 1.83457e-06, Loss_f: 1.18096e-03, Loss_s: 6.51686e-02
Iter: 9300, Loss: 6.83656e-02, Loss_0: 2.22444e-03, Loss_b: 1.53712e-06, Loss_f: 1.06721e-03, Loss_s: 6.50724e-02
Iter: 9400, Loss: 6.98341e-02, Loss_0: 2.34832e-03, Loss_b: 2.83249e-06, Loss_f: 2.51329e-03, Loss_s: 6.49697e-02
Iter: 9500, Loss: 7.03430e-02, Loss_0: 2.16451e-03, Loss_b: 2.57108e-06, Loss_f: 3.11392e-03, Loss_s: 6.50620e-02
Iter: 9600, Loss: 7.68550e-02, Loss_0: 2.12278e-03, Loss_b: 8.22813e-06, Loss_f: 9.59976e-03, Loss_s: 6.51242e-02
Iter: 9700, Loss: 9.66391e-02, Loss_0: 2.44851e-03, Loss_b: 3.56760e-06, Loss_f: 2.93120e-02, Loss_s: 6.48751e-02
Iter: 9800, Loss: 6.89602e-02, Loss_0: 2.05632e-03, Loss_b: 4.43972e-06, Loss_f: 1.92215e-03, Loss_s: 6.49773e-02
Iter: 9900, Loss: 6.82886e-02, Loss_0: 2.15617e-03, Loss_b: 1.35080e-06, Loss_f: 1.27703e-03, Loss_s: 6.48541e-02
Iter: 10000, Loss: 6.79159e-02, Loss_0: 2.11795e-03, Loss_b: 1.25692e-06, Loss_f: 9.58378e-04, Loss_s: 6.48383e-02
Iter: 10100, Loss: 6.70259e-02, Loss_0: 1.50389e-03, Loss_b: 8.74780e-07, Loss_f: 1.03233e-03, Loss_s: 6.44888e-02
Iter: 10200, Loss: 6.61084e-02, Loss_0: 1.27437e-03, Loss_b: 1.18193e-06, Loss_f: 8.58454e-04, Loss_s: 6.39744e-02
Iter: 10300, Loss: 6.55428e-02, Loss_0: 1.08215e-03, Loss_b: 2.46502e-06, Loss_f: 7.44481e-04, Loss_s: 6.37137e-02
Iter: 10400, Loss: 6.51353e-02, Loss_0: 9.76092e-04, Loss_b: 2.72419e-06, Loss_f: 6.68655e-04, Loss_s: 6.34878e-02
Iter: 10500, Loss: 6.47937e-02, Loss_0: 9.57850e-04, Loss_b: 2.52392e-06, Loss_f: 5.64133e-04, Loss_s: 6.32692e-02
Iter: 10600, Loss: 6.44511e-02, Loss_0: 9.40549e-04, Loss_b: 3.47447e-06, Loss_f: 4.76186e-04, Loss_s: 6.30308e-02
Iter: 10700, Loss: 6.41954e-02, Loss_0: 1.06461e-03, Loss_b: 1.34781e-06, Loss_f: 4.19849e-04, Loss_s: 6.27096e-02
Iter: 10800, Loss: 6.40233e-02, Loss_0: 1.02365e-03, Loss_b: 1.07126e-06, Loss_f: 3.98073e-04, Loss_s: 6.26005e-02
Iter: 10900, Loss: 6.38918e-02, Loss_0: 9.98987e-04, Loss_b: 7.99846e-07, Loss_f: 3.59255e-04, Loss_s: 6.25327e-02
Iter: 11000, Loss: 6.37669e-02, Loss_0: 9.91052e-04, Loss_b: 9.30333e-07, Loss_f: 3.30110e-04, Loss_s: 6.24448e-02
Iter: 11100, Loss: 6.36676e-02, Loss_0: 9.73960e-04, Loss_b: 2.16667e-07, Loss_f: 2.97475e-04, Loss_s: 6.23959e-02
Iter: 11200, Loss: 6.35955e-02, Loss_0: 9.43227e-04, Loss_b: 4.76674e-07, Loss_f: 2.53502e-04, Loss_s: 6.23983e-02
Iter: 11300, Loss: 6.35280e-02, Loss_0: 9.47744e-04, Loss_b: 4.71516e-07, Loss_f: 2.28071e-04, Loss_s: 6.23518e-02
Iter: 11400, Loss: 6.34649e-02, Loss_0: 9.67457e-04, Loss_b: 7.00329e-07, Loss_f: 2.11964e-04, Loss_s: 6.22848e-02
Iter: 11500, Loss: 6.34067e-02, Loss_0: 9.98666e-04, Loss_b: 6.30776e-07, Loss_f: 1.94779e-04, Loss_s: 6.22126e-02
Iter: 11600, Loss: 6.33591e-02, Loss_0: 1.01515e-03, Loss_b: 4.29540e-07, Loss_f: 1.91933e-04, Loss_s: 6.21516e-02
Iter: 11700, Loss: 6.33135e-02, Loss_0: 1.01828e-03, Loss_b: 7.27472e-07, Loss_f: 1.89043e-04, Loss_s: 6.21055e-02
Iter: 11800, Loss: 6.32681e-02, Loss_0: 1.02593e-03, Loss_b: 3.09375e-07, Loss_f: 1.75425e-04, Loss_s: 6.20664e-02
Iter: 11900, Loss: 6.32312e-02, Loss_0: 1.01326e-03, Loss_b: 3.33474e-07, Loss_f: 1.65532e-04, Loss_s: 6.20521e-02
Iter: 12000, Loss: 6.31918e-02, Loss_0: 1.02838e-03, Loss_b: 3.90382e-07, Loss_f: 1.59242e-04, Loss_s: 6.20038e-02
Iter: 12100, Loss: 6.31555e-02, Loss_0: 1.01156e-03, Loss_b: 1.13534e-07, Loss_f: 1.64042e-04, Loss_s: 6.19797e-02
Iter: 12200, Loss: 6.31252e-02, Loss_0: 1.00362e-03, Loss_b: 5.68162e-08, Loss_f: 1.61302e-04, Loss_s: 6.19602e-02
Iter: 12300, Loss: 6.30972e-02, Loss_0: 1.01740e-03, Loss_b: 1.94484e-07, Loss_f: 1.54583e-04, Loss_s: 6.19251e-02
Iter: 12400, Loss: 6.30704e-02, Loss_0: 1.01563e-03, Loss_b: 2.33338e-07, Loss_f: 1.56164e-04, Loss_s: 6.18984e-02
Iter: 12500, Loss: 6.30422e-02, Loss_0: 9.95471e-04, Loss_b: 2.08528e-07, Loss_f: 1.56917e-04, Loss_s: 6.18896e-02
Iter: 12600, Loss: 6.30172e-02, Loss_0: 9.93160e-04, Loss_b: 2.73266e-07, Loss_f: 1.57171e-04, Loss_s: 6.18666e-02
Iter: 12700, Loss: 6.29790e-02, Loss_0: 1.00866e-03, Loss_b: 4.00343e-07, Loss_f: 1.61495e-04, Loss_s: 6.18084e-02
Iter: 12800, Loss: 6.29363e-02, Loss_0: 1.00765e-03, Loss_b: 3.57092e-07, Loss_f: 1.73470e-04, Loss_s: 6.17548e-02
Iter: 12900, Loss: 6.28999e-02, Loss_0: 1.04635e-03, Loss_b: 1.82449e-07, Loss_f: 1.86975e-04, Loss_s: 6.16664e-02
Iter: 13000, Loss: 6.28622e-02, Loss_0: 1.09752e-03, Loss_b: 1.89873e-07, Loss_f: 2.03654e-04, Loss_s: 6.15609e-02
Iter: 13100, Loss: 6.28269e-02, Loss_0: 1.11916e-03, Loss_b: 1.96268e-07, Loss_f: 2.15232e-04, Loss_s: 6.14923e-02
Iter: 13200, Loss: 6.27870e-02, Loss_0: 1.13650e-03, Loss_b: 2.53942e-07, Loss_f: 2.18626e-04, Loss_s: 6.14317e-02
Iter: 13300, Loss: 6.27483e-02, Loss_0: 1.20017e-03, Loss_b: 4.31901e-07, Loss_f: 2.29726e-04, Loss_s: 6.13180e-02
Iter: 13400, Loss: 6.27069e-02, Loss_0: 1.19773e-03, Loss_b: 6.95882e-07, Loss_f: 2.40097e-04, Loss_s: 6.12684e-02
Iter: 13500, Loss: 6.26630e-02, Loss_0: 1.22291e-03, Loss_b: 5.45534e-07, Loss_f: 2.50406e-04, Loss_s: 6.11891e-02
Iter: 13600, Loss: 6.26178e-02, Loss_0: 1.26379e-03, Loss_b: 4.84053e-07, Loss_f: 2.61750e-04, Loss_s: 6.10918e-02
