Start Training:
Iter: 14500, Loss: 7.82519e-01, Loss_0: 7.62827e-01, Loss_1: 1.40933e-02, Loss_b: 5.61423e-06, Loss_f: 5.59300e-03
Iter: 14600, Loss: 7.81756e-01, Loss_0: 7.62339e-01, Loss_1: 1.38436e-02, Loss_b: 7.09920e-06, Loss_f: 5.56654e-03
Iter: 14700, Loss: 7.81101e-01, Loss_0: 7.61874e-01, Loss_1: 1.37038e-02, Loss_b: 7.59819e-06, Loss_f: 5.51491e-03
Iter: 14800, Loss: 7.80330e-01, Loss_0: 7.61351e-01, Loss_1: 1.35838e-02, Loss_b: 1.75016e-06, Loss_f: 5.39320e-03
Iter: 14900, Loss: 7.79689e-01, Loss_0: 7.60923e-01, Loss_1: 1.34206e-02, Loss_b: 1.08715e-05, Loss_f: 5.33462e-03
Iter: 15000, Loss: 7.78959e-01, Loss_0: 7.60449e-01, Loss_1: 1.30905e-02, Loss_b: 3.67600e-06, Loss_f: 5.41602e-03
Iter: 15100, Loss: 7.78199e-01, Loss_0: 7.60094e-01, Loss_1: 1.28146e-02, Loss_b: 2.67133e-06, Loss_f: 5.28794e-03
Iter: 15200, Loss: 7.77707e-01, Loss_0: 7.59822e-01, Loss_1: 1.26236e-02, Loss_b: 3.72478e-06, Loss_f: 5.25830e-03
Iter: 15300, Loss: 7.77168e-01, Loss_0: 7.59491e-01, Loss_1: 1.25017e-02, Loss_b: 4.52882e-06, Loss_f: 5.17092e-03
Iter: 15400, Loss: 7.76594e-01, Loss_0: 7.59144e-01, Loss_1: 1.23223e-02, Loss_b: 1.56264e-06, Loss_f: 5.12611e-03
Iter: 15500, Loss: 7.75999e-01, Loss_0: 7.58850e-01, Loss_1: 1.20035e-02, Loss_b: 1.38485e-06, Loss_f: 5.14361e-03
Iter: 15600, Loss: 7.75338e-01, Loss_0: 7.58591e-01, Loss_1: 1.17184e-02, Loss_b: 3.35039e-06, Loss_f: 5.02520e-03
Iter: 15700, Loss: 7.74736e-01, Loss_0: 7.58238e-01, Loss_1: 1.15171e-02, Loss_b: 1.93725e-06, Loss_f: 4.97875e-03
Iter: 15800, Loss: 7.74089e-01, Loss_0: 7.57913e-01, Loss_1: 1.12463e-02, Loss_b: 1.87775e-06, Loss_f: 4.92846e-03
Iter: 15900, Loss: 7.73438e-01, Loss_0: 7.57616e-01, Loss_1: 1.11272e-02, Loss_b: 1.58304e-06, Loss_f: 4.69265e-03
Iter: 16000, Loss: 7.72884e-01, Loss_0: 7.57325e-01, Loss_1: 1.09219e-02, Loss_b: 1.41840e-06, Loss_f: 4.63619e-03
Iter: 16100, Loss: 7.72195e-01, Loss_0: 7.57061e-01, Loss_1: 1.05418e-02, Loss_b: 3.65069e-06, Loss_f: 4.58817e-03
Iter: 16200, Loss: 7.71514e-01, Loss_0: 7.56730e-01, Loss_1: 1.01583e-02, Loss_b: 4.44168e-06, Loss_f: 4.62143e-03
Iter: 16300, Loss: 7.70984e-01, Loss_0: 7.56546e-01, Loss_1: 9.85638e-03, Loss_b: 9.04662e-06, Loss_f: 4.57244e-03
Iter: 16400, Loss: 7.70409e-01, Loss_0: 7.56342e-01, Loss_1: 9.58858e-03, Loss_b: 4.35079e-06, Loss_f: 4.47327e-03
Iter: 16500, Loss: 7.69818e-01, Loss_0: 7.56153e-01, Loss_1: 9.32224e-03, Loss_b: 7.57635e-06, Loss_f: 4.33572e-03
