Start Training:
Iter: 13200, Loss: 2.35263e-04, Loss_0: 5.85874e-05, Loss_1: 1.77321e-05, Loss_b: 1.31703e-04, Loss_f: 2.72409e-05
Iter: 13300, Loss: 3.20861e-05, Loss_0: 2.57451e-05, Loss_1: 5.62985e-07, Loss_b: 2.51205e-06, Loss_f: 3.26600e-06
Iter: 13400, Loss: 2.92362e-05, Loss_0: 2.49037e-05, Loss_1: 5.17280e-07, Loss_b: 9.73816e-07, Loss_f: 2.84136e-06
Iter: 13500, Loss: 3.09900e-05, Loss_0: 2.53934e-05, Loss_1: 5.83861e-07, Loss_b: 1.58655e-06, Loss_f: 3.42620e-06
Iter: 13600, Loss: 2.92704e-05, Loss_0: 2.49172e-05, Loss_1: 5.41473e-07, Loss_b: 1.00682e-06, Loss_f: 2.80487e-06
Iter: 13700, Loss: 6.38814e-05, Loss_0: 2.65625e-05, Loss_1: 2.74102e-06, Loss_b: 2.25354e-05, Loss_f: 1.20423e-05
Iter: 13800, Loss: 2.11082e-04, Loss_0: 3.86415e-05, Loss_1: 1.67547e-05, Loss_b: 1.37609e-04, Loss_f: 1.80771e-05
Iter: 13900, Loss: 3.09199e-05, Loss_0: 2.55338e-05, Loss_1: 4.65840e-07, Loss_b: 1.08268e-06, Loss_f: 3.83758e-06
Iter: 14000, Loss: 5.03567e-05, Loss_0: 2.80964e-05, Loss_1: 1.90150e-06, Loss_b: 1.41516e-05, Loss_f: 6.20720e-06
Iter: 14100, Loss: 4.81408e-05, Loss_0: 2.58182e-05, Loss_1: 1.08090e-06, Loss_b: 1.07767e-05, Loss_f: 1.04649e-05
Iter: 14200, Loss: 4.35380e-05, Loss_0: 2.54952e-05, Loss_1: 1.39710e-06, Loss_b: 1.23416e-05, Loss_f: 4.30404e-06
Iter: 14300, Loss: 2.90831e-05, Loss_0: 2.49022e-05, Loss_1: 4.36746e-07, Loss_b: 1.04410e-06, Loss_f: 2.69999e-06
Iter: 14400, Loss: 7.43563e-04, Loss_0: 1.80842e-04, Loss_1: 4.84623e-05, Loss_b: 4.44957e-04, Loss_f: 6.93022e-05
Iter: 14500, Loss: 4.39343e-05, Loss_0: 2.71307e-05, Loss_1: 2.02540e-06, Loss_b: 9.77922e-06, Loss_f: 4.99904e-06
Iter: 14600, Loss: 2.08688e-04, Loss_0: 2.55394e-05, Loss_1: 1.84189e-05, Loss_b: 1.45075e-04, Loss_f: 1.96549e-05
