Start Training:
Iter: 11900, Loss: 5.08772e-03, Loss_0: 4.81789e-03, Loss_1: 1.93602e-04, Loss_b: 4.70665e-06, Loss_f: 7.15172e-05
Iter: 12000, Loss: 5.02757e-03, Loss_0: 4.76988e-03, Loss_1: 1.72881e-04, Loss_b: 1.83022e-05, Loss_f: 6.65040e-05
Iter: 12100, Loss: 4.92865e-03, Loss_0: 4.72506e-03, Loss_1: 1.62300e-04, Loss_b: 8.38820e-07, Loss_f: 4.04553e-05
Iter: 12200, Loss: 4.89892e-03, Loss_0: 4.70841e-03, Loss_1: 1.48451e-04, Loss_b: 1.54013e-06, Loss_f: 4.05175e-05
Iter: 12300, Loss: 5.10120e-03, Loss_0: 4.78377e-03, Loss_1: 1.85250e-04, Loss_b: 9.51685e-05, Loss_f: 3.70191e-05
Iter: 12400, Loss: 4.87814e-03, Loss_0: 4.69720e-03, Loss_1: 1.41668e-04, Loss_b: 2.26697e-06, Loss_f: 3.70059e-05
Iter: 12500, Loss: 4.84338e-03, Loss_0: 4.67365e-03, Loss_1: 1.31233e-04, Loss_b: 2.09259e-06, Loss_f: 3.64005e-05
Iter: 12600, Loss: 4.82169e-03, Loss_0: 4.65951e-03, Loss_1: 1.27221e-04, Loss_b: 3.25377e-07, Loss_f: 3.46394e-05
Iter: 12700, Loss: 4.80289e-03, Loss_0: 4.64497e-03, Loss_1: 1.23641e-04, Loss_b: 9.54965e-07, Loss_f: 3.33215e-05
Iter: 12800, Loss: 4.78874e-03, Loss_0: 4.63316e-03, Loss_1: 1.19176e-04, Loss_b: 2.00856e-06, Loss_f: 3.43958e-05
Iter: 12900, Loss: 4.77620e-03, Loss_0: 4.62653e-03, Loss_1: 1.12641e-04, Loss_b: 2.13385e-07, Loss_f: 3.68127e-05
Iter: 13000, Loss: 4.75139e-03, Loss_0: 4.60960e-03, Loss_1: 1.10711e-04, Loss_b: 4.14150e-07, Loss_f: 3.06573e-05
Iter: 13100, Loss: 4.96513e-03, Loss_0: 4.66618e-03, Loss_1: 1.43138e-04, Loss_b: 1.20782e-04, Loss_f: 3.50258e-05
Iter: 13200, Loss: 4.77923e-03, Loss_0: 4.63144e-03, Loss_1: 1.06064e-04, Loss_b: 2.74653e-06, Loss_f: 3.89827e-05
Iter: 13300, Loss: 4.73530e-03, Loss_0: 4.60068e-03, Loss_1: 1.03736e-04, Loss_b: 2.35830e-06, Loss_f: 2.85298e-05
Iter: 13400, Loss: 4.73625e-03, Loss_0: 4.59816e-03, Loss_1: 9.78187e-05, Loss_b: 1.14166e-05, Loss_f: 2.88537e-05
Iter: 13500, Loss: 4.73452e-03, Loss_0: 4.59906e-03, Loss_1: 9.63469e-05, Loss_b: 1.21672e-05, Loss_f: 2.69494e-05
Iter: 13600, Loss: 4.72364e-03, Loss_0: 4.59966e-03, Loss_1: 8.69138e-05, Loss_b: 3.00504e-07, Loss_f: 3.67641e-05
Iter: 13700, Loss: 4.72120e-03, Loss_0: 4.58875e-03, Loss_1: 8.95441e-05, Loss_b: 1.50591e-05, Loss_f: 2.78484e-05
Iter: 13800, Loss: 4.73739e-03, Loss_0: 4.59394e-03, Loss_1: 9.24259e-05, Loss_b: 1.68110e-05, Loss_f: 3.42133e-05
Iter: 13900, Loss: 4.70875e-03, Loss_0: 4.59151e-03, Loss_1: 8.57421e-05, Loss_b: 6.36116e-06, Loss_f: 2.51390e-05
Iter: 14000, Loss: 4.69213e-03, Loss_0: 4.58721e-03, Loss_1: 8.02233e-05, Loss_b: 2.20409e-07, Loss_f: 2.44800e-05
Iter: 14100, Loss: 4.80635e-03, Loss_0: 4.60566e-03, Loss_1: 9.71115e-05, Loss_b: 7.41273e-05, Loss_f: 2.94538e-05
Iter: 14200, Loss: 4.71515e-03, Loss_0: 4.58916e-03, Loss_1: 8.06707e-05, Loss_b: 1.11827e-05, Loss_f: 3.41357e-05
Iter: 14300, Loss: 4.74228e-03, Loss_0: 4.60915e-03, Loss_1: 7.07372e-05, Loss_b: 2.52610e-06, Loss_f: 5.98632e-05
Iter: 14400, Loss: 4.69636e-03, Loss_0: 4.58740e-03, Loss_1: 7.16585e-05, Loss_b: 6.94368e-06, Loss_f: 3.03631e-05
Iter: 14500, Loss: 4.81355e-03, Loss_0: 4.61483e-03, Loss_1: 9.44497e-05, Loss_b: 6.97308e-05, Loss_f: 3.45421e-05
Iter: 14600, Loss: 4.80364e-03, Loss_0: 4.59749e-03, Loss_1: 8.72632e-05, Loss_b: 8.71147e-05, Loss_f: 3.17707e-05
Iter: 14700, Loss: 4.66931e-03, Loss_0: 4.58014e-03, Loss_1: 6.58272e-05, Loss_b: 1.09963e-06, Loss_f: 2.22473e-05
Iter: 14800, Loss: 4.67481e-03, Loss_0: 4.58861e-03, Loss_1: 6.33799e-05, Loss_b: 4.87117e-07, Loss_f: 2.23319e-05
Iter: 14900, Loss: 4.68120e-03, Loss_0: 4.58322e-03, Loss_1: 7.00390e-05, Loss_b: 1.35947e-06, Loss_f: 2.65804e-05
Iter: 15000, Loss: 5.05340e-03, Loss_0: 4.69443e-03, Loss_1: 1.45561e-04, Loss_b: 1.34943e-04, Loss_f: 7.84684e-05
Iter: 15100, Loss: 4.69620e-03, Loss_0: 4.59010e-03, Loss_1: 6.42519e-05, Loss_b: 6.00602e-06, Loss_f: 3.58490e-05
Iter: 15200, Loss: 4.66490e-03, Loss_0: 4.58285e-03, Loss_1: 6.11045e-05, Loss_b: 1.01453e-07, Loss_f: 2.08391e-05
Iter: 15300, Loss: 4.72806e-03, Loss_0: 4.61943e-03, Loss_1: 6.69493e-05, Loss_b: 1.34142e-05, Loss_f: 2.82716e-05
Iter: 15400, Loss: 4.68345e-03, Loss_0: 4.58554e-03, Loss_1: 5.42538e-05, Loss_b: 3.19911e-06, Loss_f: 4.04487e-05
Iter: 15500, Loss: 4.72836e-03, Loss_0: 4.61429e-03, Loss_1: 6.72312e-05, Loss_b: 1.07866e-06, Loss_f: 4.57577e-05
Iter: 15600, Loss: 4.66787e-03, Loss_0: 4.57973e-03, Loss_1: 5.56219e-05, Loss_b: 6.25178e-06, Loss_f: 2.62640e-05
Iter: 15700, Loss: 4.64393e-03, Loss_0: 4.57041e-03, Loss_1: 5.54458e-05, Loss_b: 2.04348e-07, Loss_f: 1.78627e-05
Iter: 15800, Loss: 4.77002e-03, Loss_0: 4.59786e-03, Loss_1: 7.25848e-05, Loss_b: 7.55438e-05, Loss_f: 2.40292e-05
Iter: 15900, Loss: 4.64495e-03, Loss_0: 4.57342e-03, Loss_1: 5.04804e-05, Loss_b: 2.75090e-06, Loss_f: 1.82992e-05
Iter: 16000, Loss: 4.65726e-03, Loss_0: 4.56931e-03, Loss_1: 4.96134e-05, Loss_b: 1.59346e-05, Loss_f: 2.23975e-05
Iter: 16100, Loss: 4.65541e-03, Loss_0: 4.58739e-03, Loss_1: 4.83264e-05, Loss_b: 4.37211e-07, Loss_f: 1.92565e-05
Iter: 16200, Loss: 4.64174e-03, Loss_0: 4.57382e-03, Loss_1: 4.72995e-05, Loss_b: 2.72448e-07, Loss_f: 2.03497e-05
Iter: 16300, Loss: 4.62807e-03, Loss_0: 4.56384e-03, Loss_1: 4.54971e-05, Loss_b: 2.42751e-06, Loss_f: 1.62995e-05
Iter: 16400, Loss: 4.68702e-03, Loss_0: 4.58390e-03, Loss_1: 5.19439e-05, Loss_b: 3.16291e-05, Loss_f: 1.95533e-05
Iter: 16500, Loss: 4.69384e-03, Loss_0: 4.58720e-03, Loss_1: 5.67944e-05, Loss_b: 3.11053e-05, Loss_f: 1.87409e-05
Iter: 16600, Loss: 4.70721e-03, Loss_0: 4.57974e-03, Loss_1: 5.81888e-05, Loss_b: 4.81542e-05, Loss_f: 2.11315e-05
Iter: 16700, Loss: 4.63868e-03, Loss_0: 4.58211e-03, Loss_1: 4.06542e-05, Loss_b: 1.42904e-07, Loss_f: 1.57803e-05
Iter: 16800, Loss: 4.62642e-03, Loss_0: 4.56578e-03, Loss_1: 4.09183e-05, Loss_b: 1.98724e-06, Loss_f: 1.77367e-05
Iter: 16900, Loss: 4.62315e-03, Loss_0: 4.56041e-03, Loss_1: 3.94258e-05, Loss_b: 2.90812e-06, Loss_f: 2.04046e-05
Iter: 17000, Loss: 4.64787e-03, Loss_0: 4.57960e-03, Loss_1: 3.78449e-05, Loss_b: 3.47413e-06, Loss_f: 2.69487e-05
Iter: 17100, Loss: 4.64793e-03, Loss_0: 4.57535e-03, Loss_1: 4.36961e-05, Loss_b: 3.58141e-06, Loss_f: 2.53027e-05
